date,count
2018-07-03,12
2018-07-04,8
2018-07-05,13
2018-07-06,6
2018-07-07,7
2018-07-08,9
2018-07-09,10
2018-07-10,10
2018-07-11,5
2018-07-12,5
2018-07-13,6
2018-07-15,6
2018-07-16,6
2018-07-17,4
2018-07-18,11
2018-07-19,8
2018-07-20,11
2018-07-21,6
2018-07-23,1
2018-07-24,5
2018-07-25,6
2018-07-26,3
2018-07-27,4
2018-07-29,1
2018-07-30,17
2018-07-31,16
2018-08-01,8
2018-08-02,2
2018-08-03,7
2018-08-04,2
2018-08-05,2
2018-08-06,14
2018-08-07,11
2018-08-08,14
2018-08-09,9
2018-08-10,2
2018-08-11,6
2018-08-12,8
2018-08-13,10
2018-08-14,20
2018-08-15,12
2018-08-16,9
2018-08-17,2
2018-08-18,25
2018-08-19,59
2018-08-20,16
2018-08-21,11
2018-08-22,19
2018-08-23,11
2018-08-24,5
2018-08-25,32
2018-08-26,17
2018-08-27,13
2018-08-28,13
2018-08-29,11
2018-08-30,12
2018-08-31,6
2018-09-01,4
2018-09-02,8
2018-09-04,10
2018-09-05,33
2018-09-06,8
2018-09-07,8
2018-09-08,14
2018-09-09,36
2018-09-10,17
2018-09-11,17
2018-09-12,5
2018-09-13,37
2018-09-14,7
2018-09-15,5
2018-09-16,2
2018-09-17,10
2018-09-18,5
2018-09-19,20
2018-09-20,9
2018-09-21,5
2018-09-22,100
2018-09-23,227
2018-09-24,16
2018-09-25,16
2018-09-26,13
2018-09-27,24
2018-09-28,10
2018-09-29,7
2018-09-30,2
2018-10-01,14
2018-10-02,9
2018-10-03,25
2018-10-04,12
2018-10-05,16
2018-10-06,3
2018-10-07,3
2018-10-09,22
2018-10-10,6
2018-10-11,9
2018-10-12,15
2018-10-13,4
2018-10-14,9
2018-10-15,7
2018-10-16,13
2018-10-17,21
2018-10-18,15
2018-10-19,4
2018-10-20,6
2018-10-21,10
2018-10-22,12
2018-10-23,18
2018-10-24,10
2018-10-25,25
2018-10-26,24
2018-10-27,8
2018-10-28,5
2018-10-29,18
2018-10-30,22
2018-10-31,10
2018-11-01,34
2018-11-02,13
2018-11-03,12
2018-11-04,6
2018-11-05,16
2018-11-06,19
2018-11-07,18
2018-11-08,13
2018-11-09,7
2018-11-10,7
2018-11-11,6
2018-11-12,12
2018-11-13,18
2018-11-14,26
2018-11-15,6
2018-11-16,13
2018-11-17,14
2018-11-18,5
2018-11-19,19
2018-11-20,17
2018-11-21,24
2018-11-22,17
2018-11-23,3
2018-11-24,5
2018-11-25,8
2018-11-26,9
2018-11-27,23
2018-11-28,27
2018-11-29,7
2018-11-30,12
2018-12-01,6
2018-12-02,6
2018-12-03,6
2018-12-04,7
2018-12-05,13
2018-12-06,8
2018-12-07,8
2018-12-08,1
2018-12-09,4
2018-12-10,9
2018-12-11,9
2018-12-12,6
2018-12-13,5
2018-12-14,2
2018-12-15,3
2018-12-16,5
2018-12-17,4
2018-12-18,9
2018-12-19,6
2018-12-20,8
2018-12-21,1
2018-12-22,4
2018-12-26,2
2018-12-27,2
2018-12-30,1
2018-12-31,2
2019-01-01,1
2019-01-02,1
2019-01-03,18
2019-01-04,858
2019-01-05,1177
2019-01-06,591
2019-01-07,334
2019-01-08,76
2019-01-09,2096
2019-01-10,3157
2019-01-11,2452
2019-01-12,1217
2019-01-13,192
2019-01-14,84
2019-01-15,23
2019-01-16,11
2019-01-17,11
2019-01-18,9
2019-01-19,6
2019-01-20,39
2019-01-21,606
2019-01-22,1502
2019-01-23,1150
2019-01-24,917
2019-01-25,1001
2019-01-26,693
2019-01-27,1345
2019-01-28,1318
2019-01-29,173
2019-01-30,859
2019-01-31,2077
2019-02-01,2158
2019-02-02,1362
2019-02-03,1353
2019-02-04,792
2019-02-05,515
2019-02-06,322
2019-02-07,146
2019-02-08,108
2019-02-09,5
2019-02-10,3
